TransactionID,Item1,Item2,Item3,Item4,Item5,Item6
1,Ice,Vodka,Whisky,Wine White,,
2,Tonic Water,Ice,Tequila,,,
3,Vodka,Orange Juice,Olives,Ice,Cola,
4,Cola,Wine Red,Vodka,Crackers,Beer,Soda
5,Cheese,Rum,Gin,Wine Red,Mint,Tequila
6,Brandy,Olives,Lemon,,,
7,Soda,Cheese,,,,
8,Mint,Wine White,Cider,Nuts,,
9,Brandy,Wine Red,Vodka,,,
10,Vodka,Chips,Cola,Rum,,
11,Rum,Beer,Orange Juice,Brandy,Vodka,Soda
12,Vodka,Cheese,Whisky,,,
13,Brandy,Tequila,Olives,Orange Juice,Nuts,
14,Olives,Wine White,,,,
15,Wine White,Mint,Brandy,Nuts,Vodka,
16,Ice,Gin,Soda,Lemon,Nuts,Cola
17,Cider,Nuts,Soda,Wine White,,
18,Olives,Tequila,Crackers,,,
19,Cheese,Beer,Lemon,,,
20,Rum,Vodka,Wine White,,,
21,Tonic Water,Vodka,,,,
22,Vodka,Cheese,Chips,Gin,Rum,
23,Chips,Nuts,,,,
24,Beer,Gin,Wine Red,Tequila,Orange Juice,Chips
25,Olives,Cola,Vodka,Mint,Wine Red,Chips
26,Cheese,Chips,Lemon,Tonic Water,Wine Red,Mint
27,Nuts,Mint,Rum,Olives,Ice,
28,Mint,Beer,Orange Juice,Rum,Tonic Water,
29,Vodka,Crackers,Cider,Tonic Water,Beer,Cola
30,Vodka,Beer,Olives,Crackers,Wine Red,Tonic Water
31,Tonic Water,Cola,Orange Juice,,,
32,Whisky,Nuts,,,,
33,Lemon,Whisky,Gin,Tonic Water,,
34,Brandy,Crackers,Soda,Olives,Orange Juice,Wine Red
35,Tonic Water,Brandy,,,,
36,Gin,Cola,Rum,Mint,Soda,Tonic Water
37,Soda,Whisky,Lemon,,,
38,Whisky,Mint,Crackers,Lemon,,
39,Cheese,Ice,Cola,Olives,,
40,Mint,Whisky,Cider,Wine Red,,
41,Tequila,Gin,,,,
42,Gin,Rum,Wine Red,Chips,Cider,Vodka
43,Wine Red,Ice,Orange Juice,Tequila,Wine White,
44,Brandy,Olives,,,,
45,Rum,Orange Juice,,,,
46,Cheese,Ice,Mint,,,
47,Gin,Whisky,,,,
48,Chips,Olives,,,,
49,Chips,Nuts,Beer,Tonic Water,,
50,Rum,Orange Juice,Olives,,,
51,Orange Juice,Beer,Whisky,Cider,Tequila,Mint
52,Wine White,Nuts,Chips,Lemon,Whisky,Beer
53,Cheese,Vodka,Nuts,Tonic Water,Whisky,
54,Olives,Beer,Tonic Water,,,
55,Beer,Vodka,,,,
56,Nuts,Tonic Water,Tequila,Vodka,,
57,Cheese,Wine White,Vodka,Orange Juice,,
58,Cider,Chips,Cheese,Vodka,,
59,Ice,Tequila,Wine Red,Brandy,Mint,
60,Wine Red,Cider,Chips,Brandy,Rum,
61,Beer,Cola,Tonic Water,Olives,Mint,Tequila
62,Wine White,Chips,,,,
63,Vodka,Soda,Wine Red,,,
64,Wine Red,Wine White,Lemon,Beer,,
65,Whisky,Wine White,Brandy,Olives,,
66,Soda,Cider,Ice,Brandy,Nuts,Rum
67,Cheese,Nuts,Vodka,Olives,Wine White,
68,Lemon,Tonic Water,Tequila,Cola,Rum,Nuts
69,Gin,Cola,Wine White,Cheese,Vodka,
70,Vodka,Soda,Cola,Lemon,,
71,Orange Juice,Cheese,Vodka,Chips,Cola,Nuts
72,Tonic Water,Brandy,Orange Juice,Soda,Chips,
73,Crackers,Rum,Olives,,,
74,Lemon,Ice,Tequila,Chips,Mint,Cheese
75,Cola,Brandy,Beer,Olives,,
76,Crackers,Vodka,Brandy,Chips,,
77,Brandy,Chips,Vodka,Beer,,
78,Chips,Beer,,,,
79,Vodka,Rum,Tonic Water,Cola,Chips,
80,Vodka,Soda,Orange Juice,Mint,Tequila,Gin
81,Soda,Wine White,Nuts,Lemon,Wine Red,
82,Cheese,Orange Juice,Olives,Nuts,,
83,Cola,Mint,Cider,,,
84,Orange Juice,Olives,Tequila,,,
85,Olives,Brandy,Beer,,,
86,Wine Red,Olives,Wine White,Gin,Crackers,
87,Wine White,Whisky,Lemon,Chips,Brandy,Beer
88,Wine Red,Cheese,,,,
89,Whisky,Mint,Brandy,Crackers,,
90,Chips,Mint,Wine White,Cider,Cheese,
91,Ice,Crackers,Wine White,,,
92,Wine White,Nuts,Rum,Brandy,,
93,Olives,Ice,Nuts,Wine Red,Chips,
94,Rum,Wine Red,Olives,Ice,Whisky,
95,Cider,Wine White,,,,
96,Tequila,Cheese,,,,
97,Wine White,Tonic Water,Mint,Vodka,Cola,Lemon
98,Wine White,Wine Red,Tequila,Cider,Lemon,
99,Brandy,Rum,Vodka,Mint,Wine White,Crackers
100,Crackers,Vodka,Gin,Cola,Whisky,Rum
101,Lemon,Wine Red,Ice,Chips,Brandy,Cola
102,Wine White,Whisky,Soda,Cola,Vodka,
103,Beer,Gin,Olives,Cider,Chips,Whisky
104,Vodka,Cider,Wine Red,Rum,Mint,Olives
105,Soda,Whisky,,,,
106,Mint,Cola,Wine Red,Rum,,
107,Soda,Rum,Cider,Crackers,,
108,Mint,Rum,Orange Juice,Beer,Soda,Lemon
109,Rum,Tonic Water,Lemon,Cider,,
110,Orange Juice,Olives,Cheese,,,
111,Lemon,Whisky,,,,
112,Mint,Ice,Vodka,Cola,Soda,Beer
113,Mint,Wine Red,Nuts,,,
114,Cola,Nuts,Gin,Vodka,Mint,Soda
115,Olives,Beer,Lemon,Cheese,Wine White,Soda
116,Vodka,Ice,Cider,,,
117,Ice,Beer,,,,
118,Olives,Tonic Water,,,,
119,Ice,Rum,Tonic Water,Cider,,
120,Ice,Cola,Cheese,Rum,Vodka,
121,Vodka,Brandy,Chips,Cider,Wine White,
122,Wine White,Beer,Gin,Olives,,
123,Tequila,Olives,Wine White,,,
124,Crackers,Wine White,Cola,Beer,,
125,Vodka,Beer,Rum,,,
126,Beer,Crackers,Olives,Cider,Vodka,Soda
127,Nuts,Vodka,Tonic Water,Tequila,,
128,Mint,Olives,Cheese,Vodka,Cider,Tequila
129,Gin,Mint,,,,
130,Lemon,Wine White,Orange Juice,Tonic Water,,
131,Beer,Chips,Lemon,Cider,Tonic Water,
132,Beer,Soda,,,,
133,Beer,Soda,Cheese,Tequila,,
134,Wine White,Cheese,Whisky,Gin,Rum,Vodka
135,Gin,Crackers,Cheese,,,
136,Orange Juice,Nuts,Vodka,,,
137,Tequila,Wine White,Cola,Soda,Rum,
138,Crackers,Chips,Vodka,Mint,Nuts,Brandy
139,Chips,Olives,Lemon,Soda,Rum,Crackers
140,Whisky,Vodka,Ice,,,
141,Brandy,Whisky,Beer,,,
142,Soda,Tequila,Chips,Cheese,,
143,Cider,Chips,Crackers,Ice,Whisky,
144,Orange Juice,Ice,Cola,Cider,,
145,Whisky,Nuts,Cider,Soda,,
146,Wine Red,Vodka,Whisky,Tequila,Brandy,Tonic Water
147,Ice,Rum,Cheese,Wine Red,Beer,Whisky
148,Vodka,Cider,Mint,,,
149,Brandy,Rum,Tonic Water,Lemon,Soda,Cheese
150,Cider,Orange Juice,Vodka,Crackers,Gin,Cheese
151,Rum,Chips,Beer,Lemon,,
152,Rum,Tonic Water,Wine Red,Tequila,Gin,
153,Vodka,Ice,Lemon,Mint,Beer,Chips
154,Soda,Wine Red,Ice,Vodka,Lemon,Rum
155,Chips,Cheese,Wine White,Soda,,
156,Lemon,Wine White,Rum,Nuts,Tequila,Brandy
157,Cider,Tonic Water,Wine White,Whisky,Wine Red,
158,Mint,Gin,,,,
159,Whisky,Orange Juice,Vodka,Nuts,Beer,Cheese
160,Wine White,Tequila,,,,
161,Cheese,Tequila,,,,
162,Chips,Nuts,Vodka,,,
163,Cider,Chips,Cheese,Lemon,,
164,Orange Juice,Vodka,Beer,Soda,Tonic Water,Ice
165,Olives,Chips,Lemon,,,
166,Cheese,Tonic Water,Brandy,Orange Juice,Nuts,Whisky
167,Wine White,Tonic Water,Cider,Rum,Mint,
168,Tonic Water,Cider,Soda,Whisky,,
169,Tequila,Rum,Gin,Orange Juice,Wine White,Whisky
170,Nuts,Gin,Tonic Water,,,
171,Chips,Soda,Nuts,Wine White,Whisky,
172,Beer,Nuts,Cider,Mint,,
173,Beer,Wine White,,,,
174,Orange Juice,Wine White,Crackers,,,
175,Mint,Gin,Chips,Wine Red,,
176,Chips,Gin,,,,
177,Olives,Nuts,Whisky,Beer,Ice,
178,Gin,Beer,Rum,Nuts,Brandy,Cheese
179,Crackers,Mint,Wine Red,Ice,,
180,Tonic Water,Wine Red,Crackers,Cider,Gin,Nuts
181,Olives,Vodka,,,,
182,Wine White,Crackers,Vodka,Ice,Tequila,
183,Tonic Water,Orange Juice,,,,
184,Tonic Water,Cheese,Orange Juice,Wine Red,,
185,Gin,Chips,Wine Red,Whisky,Tequila,Beer
186,Crackers,Gin,Mint,,,
187,Cider,Orange Juice,Lemon,Soda,Gin,Tonic Water
188,Vodka,Mint,Gin,Tonic Water,Ice,
189,Mint,Cider,Vodka,Soda,Beer,Olives
190,Wine White,Mint,Brandy,Tonic Water,,
191,Nuts,Brandy,Wine White,Tequila,Ice,Beer
192,Olives,Crackers,Whisky,Tonic Water,Cider,
193,Gin,Mint,Tonic Water,Cider,,
194,Orange Juice,Wine Red,Cola,,,
195,Cider,Wine Red,Cheese,Crackers,,
196,Cola,Chips,Whisky,Vodka,Beer,Orange Juice
197,Gin,Wine White,Tonic Water,Ice,,
198,Rum,Cola,Wine Red,,,
199,Crackers,Ice,Wine White,,,
200,Wine Red,Ice,Chips,Nuts,,
201,Cola,Tequila,,,,
202,Tonic Water,Cheese,Mint,Whisky,Wine White,
203,Rum,Tequila,Gin,,,
204,Beer,Cola,Ice,Lemon,Vodka,Brandy
205,Olives,Wine Red,Whisky,Beer,Gin,
206,Soda,Cheese,,,,
207,Crackers,Beer,,,,
208,Cider,Orange Juice,,,,
209,Brandy,Crackers,,,,
210,Cola,Beer,Brandy,Wine Red,Orange Juice,
211,Gin,Nuts,Whisky,Orange Juice,,
212,Cheese,Crackers,Chips,Orange Juice,Cola,Wine White
213,Chips,Vodka,,,,
214,Wine Red,Tonic Water,Orange Juice,Soda,,
215,Beer,Chips,Whisky,,,
216,Mint,Beer,Gin,Soda,Vodka,Cheese
217,Wine White,Cola,,,,
218,Tonic Water,Cider,,,,
219,Vodka,Lemon,,,,
220,Cheese,Gin,Orange Juice,Ice,Nuts,
221,Mint,Cola,Chips,Brandy,Orange Juice,
222,Cola,Tonic Water,,,,
223,Whisky,Cider,Mint,Tonic Water,Olives,
224,Crackers,Nuts,Brandy,Mint,Olives,
225,Tequila,Cola,Rum,Lemon,Nuts,Wine White
226,Vodka,Soda,,,,
227,Chips,Tonic Water,Lemon,,,
228,Lemon,Brandy,Cider,Wine White,Ice,
229,Wine White,Lemon,Orange Juice,Wine Red,Cider,
230,Crackers,Brandy,,,,
231,Soda,Cheese,,,,
232,Lemon,Cider,Cheese,Wine Red,Ice,Soda
233,Soda,Mint,Rum,Cola,,
234,Beer,Whisky,Gin,Rum,Lemon,Wine Red
